"country","fdi_flow","year"
"China",34017.5876754824,2001
"China",-9447.78467130987,2002
"China",7554.37531441528,2003
"China",633.506283802187,2004
"China",11335.2764020545,2005
"China",36523.611437923,2006
"China",63885.4242170573,2007
"China",-19270.3171118286,2008
"China",-26603.7540268224,2009
"China",12317.853592172,2010
"China",-117749.750056536,2011
"China",43690.0390644947,2012
"China",8380.18231535906,2013
"China",-13325.7849259876,2014
"China",268341.864079117,2015
"China",664962.380509185,2016
"China",691286.401330656,2017
"China",687268.243734844,2018
"China",705450.051009725,2019
"China",204414.671926328,2020
"China",543611.496688279,2021
"Russia",689531.466081282,2014
"Russia",714783.567640187,2015
"Russia",752194.027625882,2016
"Russia",742087.705086656,2017
"Russia",799062.946719487,2018
"Russia",1015796.96224747,2019
"Russia",1162769.85425243,2020
"Russia",1012369.71546932,2021
"Russian Federation",2297.15021820285,2001
"Russian Federation",-5233.10893206256,2002
"Russian Federation",14235.2772168491,2003
"Russian Federation",31630.2930625268,2004
"Russian Federation",3706.48981083226,2005
"Russian Federation",-22878.2858153833,2006
"Russian Federation",-11239.0211985425,2007
"Russian Federation",164114.740046962,2008
"Russian Federation",-40477.5316089135,2009
"Russian Federation",31595.1855890681,2010
"Russian Federation",54579.8038500679,2011
"Russian Federation",-92065.3466016443,2012
"Russian Federation",193077.761104012,2013
"United States",244725.219517325,2001
"United States",189427.536589076,2002
"United States",153593.692202572,2003
"United States",505284.380590249,2004
"United States",114447.187593444,2005
"United States",-18453.6291453298,2006
"United States",412299.679014644,2007
"United States",-476394.810891729,2008
"United States",625868.096545285,2009
"United States",367225.040008433,2010
"United States",345621.632641735,2011
"United States",355815.656170352,2012
"United States",1160017.11454127,2013
"United States",4387814.04208067,2014
"United States",1566659.9953752,2015
"United States",1382774.30660505,2016
"United States",1384960.09101353,2017
"United States",1452279.83169696,2018
"United States",1727624.80139914,2019
"United States",2283522.70051697,2020
"United States",2261613.53863936,2021
