cal_yr,gp,country,npos,nneg,nneu,nmention,log_senti,add_senti,total_ne,salience
1993,RU,Czechia,22,20,26,68,0.093090423066012,0.0294117647058824,26349,2.58074310220502
1993,USA,Czechia,26,22,21,69,0.163629423781802,0.0579710144927536,26349,2.61869520664921
1993,CN,Czechia,0,4,1,5,-2.19722457733622,-0.8,26349,0.189760522220957
1994,USA,Czechia,23,9,19,51,0.905708622543618,0.274509803921569,22072,2.31061978977891
1994,RU,Czechia,17,24,15,56,-0.336472236621213,-0.125,22072,2.53715114171801
1994,CN,Czechia,2,1,3,6,0.510825623765991,0.166666666666667,22072,0.27183762232693
1995,RU,Czechia,78,65,50,193,0.181048482147157,0.0673575129533679,26759,7.21252662655555
1995,USA,Czechia,36,19,16,71,0.626897795018745,0.23943661971831,26759,2.65331290406966
1995,CN,Czechia,6,6,4,16,0,0,26759,0.59792966852274
1996,USA,Czechia,50,19,28,97,0.951558870711613,0.319587628865979,28394,3.41621469324505
1996,RU,Czechia,24,26,33,83,-0.0784716154414952,-0.0240963855421687,28394,2.92315277875608
1996,CN,Czechia,11,9,5,25,0.191055236762709,0.08,28394,0.880467704444601
1997,CN,Czechia,12,28,11,51,-0.824175442966349,-0.313725490196078,55321,0.921892228990799
1997,USA,Czechia,72,48,49,169,0.402022763917192,0.142011834319527,55321,3.05489777842049
1997,RU,Czechia,69,88,79,236,-0.241675799443137,-0.0805084745762712,55321,4.26601109885938
1998,RU,Czechia,94,112,48,254,-0.174353387144778,-0.0708661417322835,40093,6.33527049609658
1998,USA,Czechia,131,63,67,261,0.727966945719173,0.260536398467433,40093,6.50986456488664
1998,CN,Czechia,6,12,4,22,-0.653926467406664,-0.272727272727273,40093,0.548724216197341
1999,RU,Czechia,45,59,34,138,-0.268263986594679,-0.101449275362319,57441,2.40246513814175
1999,USA,Czechia,97,82,46,225,0.167054084663166,0.0666666666666667,57441,3.91706272523111
1999,CN,Czechia,18,20,11,49,-0.102654154060083,-0.0408163265306122,57441,0.853049215716997
2000,USA,Czechia,50,39,18,107,0.245672664374238,0.102803738317757,43011,2.48773569551975
2000,RU,Czechia,13,24,16,53,-0.595983432106298,-0.207547169811321,43011,1.23224291460324
2000,CN,Czechia,1,1,4,6,0,0,43011,0.139499197879612
2001,USA,Czechia,52,39,29,120,0.284512497690502,0.108333333333333,55522,2.1613054284788
2001,RU,Czechia,63,47,54,164,0.29031019485805,0.0975609756097561,55522,2.9537840855877
2001,CN,Czechia,4,3,9,16,0.251314428280906,0.0625,55522,0.288174057130507
2002,RU,Czechia,43,45,29,117,-0.0449513878622663,-0.0170940170940171,46370,2.52318309251671
2002,USA,Czechia,137,62,50,249,0.78845736036427,0.301204819277108,46370,5.36985119689454
2002,CN,Czechia,1,5,2,8,-1.29928298413026,-0.5,46370,0.172525339659262
2003,USA,Czechia,197,105,87,389,0.627027631425055,0.236503856041131,59302,6.55964385686823
2003,RU,Czechia,67,54,56,177,0.213926896209286,0.0734463276836158,59302,2.98472226906344
2003,CN,Czechia,2,5,5,12,-0.78845736036427,-0.25,59302,0.202354052139894
2004,USA,Czechia,118,90,44,252,0.269563109869306,0.111111111111111,52418,4.80750887099851
2004,RU,Czechia,59,34,45,138,0.54501698851427,0.181159420289855,52418,2.63268342935633
2004,CN,Czechia,3,6,2,11,-0.619039208406224,-0.272727272727273,52418,0.209851577702316
2005,USA,Czechia,125,89,48,262,0.338067133291029,0.137404580152672,58245,4.49824019229118
2005,RU,Czechia,32,24,25,81,0.28256697178501,0.0987654320987654,58245,1.3906773113572
2005,CN,Czechia,13,12,14,39,0.0769610411361284,0.0256410256410256,58245,0.669585372134947
2006,USA,Czechia,158,74,62,294,0.754955467931822,0.285714285714286,38869,7.56386837839924
2006,RU,Czechia,40,30,32,102,0.283575290499127,0.0980392156862745,38869,2.62419923332218
2006,CN,Czechia,26,44,13,83,-0.518344456180018,-0.216867469879518,38869,2.13537780750727
2007,USA,Czechia,377,178,158,713,0.748981967469386,0.279102384291725,42264,16.8701495362483
2007,RU,Czechia,107,103,61,271,0.0379192348622937,0.014760147601476,42264,6.41207647170169
2007,CN,Czechia,5,18,10,33,-1.21302263984585,-0.393939393939394,42264,0.780806360022714
2008,RU,Czechia,65,73,47,185,-0.115235263577585,-0.0432432432432432,39839,4.64369085569417
2008,USA,Czechia,307,180,120,607,0.532744309473637,0.209225700164745,39839,15.2363262130074
2008,CN,Czechia,29,41,21,91,-0.341303163890879,-0.131868131868132,39839,2.28419388036848
2009,USA,Czechia,169,72,67,308,0.849266364959876,0.314935064935065,51763,5.95019608600738
2009,RU,Czechia,44,65,36,145,-0.386560953469012,-0.144827586206897,51763,2.80122867685412
2009,CN,Czechia,1,8,7,16,-1.73460105538811,-0.4375,51763,0.309101095377007
2010,RU,Czechia,26,24,30,80,0.0784716154414953,0.025,47072,1.69952413324269
2010,USA,Czechia,107,66,62,235,0.480288899905909,0.174468085106383,47072,4.99235214140041
2010,CN,Czechia,17,16,11,44,0.0588405000229334,0.0227272727272727,47072,0.934738273283481
2011,RU,Czechia,41,31,37,109,0.275705881405065,0.091743119266055,68773,1.58492431622875
2011,USA,Czechia,109,52,47,208,0.735111379658978,0.274038461538462,68773,3.02444273188606
2011,CN,Czechia,11,20,6,37,-0.578077850775158,-0.243243243243243,68773,0.538001832114347
2012,RU,Czechia,22,23,30,75,-0.0434851119397388,-0.0133333333333333,57505,1.30423441439875
2012,USA,Czechia,57,42,48,147,0.302280871872934,0.102040816326531,57505,2.55629945222155
2012,CN,Czechia,11,13,9,33,-0.160342650075179,-0.0606060606060606,57505,0.573863142335449
2013,CN,Czechia,14,2,1,17,1.75785791755237,0.705882352941177,30985,0.548652573826045
2013,RU,Czechia,9,12,15,36,-0.27443684570176,-0.0833333333333333,30985,1.16185250927868
2013,USA,Czechia,28,15,8,51,0.609064063349404,0.254901960784314,30985,1.64595772147813
2014,USA,Czechia,124,68,64,256,0.597471970636583,0.21875,59495,4.30288259517607
2014,RU,Czechia,217,467,265,949,-0.765200498200003,-0.263435194942044,59495,15.9509202453988
2014,CN,Czechia,22,27,17,66,-0.200670695462151,-0.0757575757575758,59495,1.10933691906883
2015,CN,Czechia,17,14,12,43,0.18805223150294,0.0697674418604651,62714,0.685652326434289
2015,USA,Czechia,133,94,76,303,0.345501643340607,0.128712871287129,62714,4.83145709092069
2015,RU,Czechia,119,191,96,406,-0.471571437249135,-0.177339901477833,62714,6.47383359377492
2016,USA,Czechia,133,102,100,335,0.264238679261841,0.0925373134328358,66177,5.06218172476842
2016,RU,Czechia,58,86,58,202,-0.391117659700023,-0.138613861386139,66177,3.05242002508424
2016,CN,Czechia,171,210,163,544,-0.204902386516441,-0.0716911764705882,66177,8.22037868141499
2017,USA,Czechia,152,136,84,372,0.110839981422452,0.0430107526881721,46934,7.92602377807133
2017,CN,Czechia,17,27,48,92,-0.451985123743057,-0.108695652173913,46934,1.96019942898538
2017,RU,Czechia,46,55,31,132,-0.176930708159078,-0.0681818181818182,46934,2.81246005028338
2019,USA,Czechia,22,12,19,53,0.587786664902119,0.188679245283019,9319,5.6873055048825
2019,RU,Czechia,38,34,34,106,0.109698917256425,0.0377358490566038,9319,11.374611009765
2019,CN,Czechia,45,67,41,153,-0.394415271921579,-0.143790849673203,9319,16.4180706084344
2020,CN,Czechia,52,166,69,287,-1.15418213982292,-0.397212543554007,60358,4.7549620597104
2020,USA,Czechia,116,89,71,276,0.263652647724946,0.0978260869565217,60358,4.57271612710825
2020,RU,Czechia,152,194,153,499,-0.243267567011035,-0.0841683366733467,60358,8.26733821531529
2021,CN,Czechia,50,132,48,230,-0.964609309144963,-0.356521739130435,50900,4.51866404715128
2021,USA,Czechia,88,76,62,226,0.145711811181394,0.0530973451327434,50900,4.44007858546169
2021,RU,Czechia,194,391,202,787,-0.699553352372357,-0.250317662007624,50900,15.4616895874263
