"","year","country","fdi_flow"
"1323",2014,"France",7384222.84210169
"1326",2015,"France",8931949.54804645
"1329",2016,"France",9498182.86651273
"1332",2017,"France",11656691.4231376
"1335",2018,"France",11933428.5642538
"1338",2019,"France",11927095.3533298
"1341",2020,"France",12675951.8597737
"1344",2021,"France",14155515.0195492
"2667",2014,"Germany",15298316.2920933
"2670",2015,"Germany",14996954.82614
"2673",2016,"Germany",17207090.846784
"2676",2017,"Germany",25448921.2632568
"2679",2018,"Germany",26932430.1514639
"2682",2019,"Germany",25479139.6950457
"2685",2020,"Germany",29027058.687285
"2688",2021,"Germany",28975455.8459661
"3339",2014,"Russia",689531.466081282
"3342",2015,"Russia",714783.567640187
"3345",2016,"Russia",752194.027625882
"3348",2017,"Russia",742087.705086656
"3351",2018,"Russia",799062.946719487
"3354",2019,"Russia",1015796.96224747
"3357",2020,"Russia",1162769.85425243
"3360",2021,"Russia",1012369.71546932
"4299",2014,"United Kingdom",3154960.19259876
"4302",2015,"United Kingdom",4658053.75028199
"4305",2016,"United Kingdom",3591002.61602832
"4308",2017,"United Kingdom",3942549.11689446
"4311",2018,"United Kingdom",3728592.6049586
"4314",2019,"United Kingdom",4806510.76422417
"4317",2020,"United Kingdom",5575794.2329965
"4320",2021,"United Kingdom",5522936.64809968
"5643",2014,"United States",4387814.04208067
"5646",2015,"United States",1566659.9953752
"5649",2016,"United States",1382774.30660505
"5652",2017,"United States",1384960.09101353
"5655",2018,"United States",1452279.83169696
"5658",2019,"United States",1727624.80139914
"5661",2020,"United States",2283522.70051697
"5664",2021,"United States",2261613.53863936
"5931",2014,"China",-13325.7849259876
"5934",2015,"China",268341.864079117
"5937",2016,"China",664962.380509185
"5940",2017,"China",691286.401330656
"5943",2018,"China",687268.243734844
"5946",2019,"China",705450.051009725
"5949",2020,"China",204414.671926328
"5952",2021,"China",543611.496688279
