country,year,import
China,1992,39746
China,1993,71363
China,1994,99175
China,1995,126090
China,1996,191444
China,1997,287950.016
China,1998,434099.008
China,1999,610175
China,2000,938818
China,2001,1333574
China,2002,2084885
China,2003,3298099
China,2004,2874298
China,2005,3587953
China,2006,3858845
China,2007,5128096
China,2008,6129649
China,2009,4949087
China,2010,6173901
China,2011,6079151
China,2012,5412282.799
China,2013,5360437.378
China,2014,5140096.968
China,2015,4776876.86
China,2016,4866965.63
China,2017,5291354.643
China,2018,6377348.262
China,2019,7157897.5
China,2020,9017060.378
China,2021,9825403.731
France,1992,338951.008
France,1993,415144
France,1994,497164
France,1995,605937.984
France,1996,683476.992
France,1997,924582.976
France,1998,1229133.056
France,1999,1313590
France,2000,1401018
France,2001,1579152
France,2002,1808097
France,2003,2288787
France,2004,2776299
France,2005,3259322
France,2006,3672134
France,2007,4133376
France,2008,4729529
France,2009,3384456
France,2010,3237860
France,2011,3693345
France,2012,3404552.005
France,2013,3767307.511
France,2014,4938423.761
France,2015,4575680.282
France,2016,3963012.795
France,2017,4198134.089
France,2018,4375868.163
France,2019,4218213.42
France,2020,4276368.023
France,2021,4379904.49
Germany,1992,2592303.104
Germany,1993,2674915.072
Germany,1994,3402866
Germany,1995,3602394.88
Germany,1996,3796622.08
Germany,1997,5694905.856
Germany,1998,7233585.152
Germany,1999,8188800
Germany,2000,8213042
Germany,2001,8392524
Germany,2002,9144482
Germany,2003,11682106
Germany,2004,17678363
Germany,2005,18206775
Germany,2006,21048974
Germany,2007,25396652
Germany,2008,27776612
Germany,2009,19198627
Germany,2010,20989922
Germany,2011,24178676
Germany,2012,23192912.486
Germany,2013,24748861.15
Germany,2014,26343462.558
Germany,2015,23774536.609
Germany,2016,24936485.961
Germany,2017,27675683.525
Germany,2018,30458352.546
Germany,2019,29633015.787
Germany,2020,27893045.486
Germany,2021,33018771.372
Russian Federation,1992,1790905.984
Russian Federation,1993,1673016.96
Russian Federation,1994,1745839
Russian Federation,1995,1753588.992
Russian Federation,1996,1989187.968
Russian Federation,1997,1833489.024
Russian Federation,1998,1533264
Russian Federation,1999,1631062
Russian Federation,2000,2588598
Russian Federation,2001,2369318
Russian Federation,2002,2283973
Russian Federation,2003,2957333
Russian Federation,2004,3385003
Russian Federation,2005,4868346
Russian Federation,2006,6179246
Russian Federation,2007,6491158
Russian Federation,2008,10157294
Russian Federation,2009,5680583
Russian Federation,2010,6828202
Russian Federation,2011,8880717
Russian Federation,2012,8283260.028
Russian Federation,2013,8540719.077
Russian Federation,2014,7292483.517
Russian Federation,2015,3642933.658
Russian Federation,2016,2636732.164
Russian Federation,2017,3574317.401
Russian Federation,2018,4604945.123
Russian Federation,2019,4471450.876
Russian Federation,2020,2589051.134
Russian Federation,2021,4269442.695
United Kingdom,1992,315694.016
United Kingdom,1993,318127.008
United Kingdom,1994,571116
United Kingdom,1995,441336.992
United Kingdom,1996,525320
United Kingdom,1997,723342.016
United Kingdom,1998,872459.008
United Kingdom,1999,852992
United Kingdom,2000,1017082
United Kingdom,2001,992732
United Kingdom,2002,1069007
United Kingdom,2003,1292623
United Kingdom,2004,1614142
United Kingdom,2005,1638712
United Kingdom,2006,1883468
United Kingdom,2007,2370712
United Kingdom,2008,2120250
United Kingdom,2009,1515060
United Kingdom,2010,1640926
United Kingdom,2011,2072420
United Kingdom,2012,1789767.224
United Kingdom,2013,1832176.91
United Kingdom,2014,1798762.022
United Kingdom,2015,1711448.78
United Kingdom,2016,1805756.38
United Kingdom,2017,2072693.749
United Kingdom,2018,2166944.864
United Kingdom,2019,1957675.309
United Kingdom,2020,1695230.354
United Kingdom,2021,1337334.807
United States,1992,316576.992
United States,1993,339984
United States,1994,451717
United States,1995,474068.992
United States,1996,566001.024
United States,1997,793585.984
United States,1998,985817.984
United States,1999,967904
United States,2000,1223605
United States,2001,1424236
United States,2002,1379103
United States,2003,1530544
United States,2004,990012
United States,2005,1111367
United States,2006,1293234
United States,2007,1528247
United States,2008,1962557
United States,2009,1523004
United States,2010,1576169
United States,2011,1948962
United States,2012,1902610.524
United States,2013,2129184.009
United States,2014,2019511.732
United States,2015,1872102.39
United States,2016,1969667.746
United States,2017,2219097.214
United States,2018,2145351.609
United States,2019,2428021.833
United States,2020,2311730.165
United States,2021,2942947.104
